date_key,line_key,city_key,ridership,day_type,target_ridership
20230101,1,1,9732,Weekend,9518
20230101,2,1,10328,Weekend,10062
20230101,3,1,5354,Weekend,5563
20230101,4,1,6182,Weekend,5980
20230101,5,2,4278,Weekend,4182
20230101,6,2,4374,Weekend,4552
20230101,7,2,5705,Weekend,5685
20230101,8,2,3855,Weekend,3709
20230102,1,1,13173,Weekday,13141
20230102,2,1,13075,Weekday,12771
20230102,3,1,6696,Weekday,6906
20230102,4,1,8938,Weekday,8717
20230102,7,2,10617,Weekday,10226
20230102,8,2,5580,Weekday,5334
20230102,5,2,6235,Weekday,6532
20230102,6,2,4339,Weekday,4509
20230103,7,2,12620,Weekday,13159
20230103,8,2,4674,Weekday,4634
20230103,5,2,5086,Weekday,4908
20230103,6,2,6282,Weekday,6480
20230103,1,1,15813,Weekday,15689
20230103,2,1,14494,Weekday,14911
20230103,4,1,6607,Weekday,6623
20230103,3,1,7028,Weekday,7025
20230104,6,2,7574,Weekday,7635
20230104,4,1,8731,Weekday,8811
20230104,3,1,6325,Weekday,6524
20230104,2,1,13782,Weekday,13489
20230104,1,1,15874,Weekday,15094
20230104,8,2,5105,Weekday,5312
20230104,7,2,11328,Weekday,10864
20230104,5,2,8094,Weekday,7789
20230105,4,1,8046,Weekday,7707
20230105,7,2,11223,Weekday,10973
20230105,1,1,13721,Weekday,13462
20230105,2,1,15512,Weekday,16101
20230105,3,1,7215,Weekday,6911
20230105,8,2,8172,Weekday,8445
20230105,5,2,4717,Weekday,4680
20230105,6,2,6956,Weekday,7141
20230106,1,1,10454,Weekday,10680
20230106,2,1,15934,Weekday,16188
20230106,3,1,6320,Weekday,6235
20230106,6,2,6738,Weekday,6827
20230106,5,2,6799,Weekday,6938
20230106,8,2,6858,Weekday,6839
20230106,7,2,11503,Weekday,11598
20230106,4,1,9237,Weekday,8964
20230107,2,1,11199,Weekend,11330
20230107,1,1,11651,Weekend,11106
20230107,3,1,5170,Weekend,5041
20230107,4,1,5257,Weekend,5478
20230107,6,2,3374,Weekend,3334
20230107,7,2,5028,Weekend,5213
20230107,5,2,3511,Weekend,3559
20230107,8,2,3360,Weekend,3405
20230108,5,2,2682,Weekend,2728
20230108,8,2,3427,Weekend,3452
20230108,7,2,5073,Weekend,4873
20230108,1,1,9883,Weekend,10296
20230108,2,1,8553,Weekend,8550
20230108,3,1,4675,Weekend,4519
20230108,6,2,3384,Weekend,3374
20230108,4,1,4187,Weekend,4073
20230109,2,1,10998,Weekday,11117
20230109,3,1,8161,Weekday,8247
20230109,4,1,6911,Weekday,7071
20230109,7,2,11893,Weekday,11391
20230109,8,2,5744,Weekday,5816
20230109,6,2,5515,Weekday,5501
20230109,1,1,14538,Weekday,14150
